,artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,artist_group,in_train,new_filename
649,Giovanni Battista Piranesi,,cityscape,3893.0,2979.0,3730701.0,wikiart,Neoclassicism,Vedute di Roma,train_and_test,True,23452.jpg
672,Joshua Reynolds,1788,mythological painting,3000.0,3788.0,4729389.0,wikiart,Rococo,Cupid Unfastening the Girdle of Venus,train_and_test,True,48736.jpg
698,Ferdinand Hodler,c.1912,landscape,3906.0,2868.0,6874707.0,wikiart,Art Nouveau (Modern),Wetterhorn,train_and_test,True,30945.jpg
710,Giovanni Battista Piranesi,,capriccio,3881.0,2874.0,3739677.0,wikiart,Neoclassicism,"Reconstruction of the column referred to in the preceding tables, and various medals of Antoninus and Faustina",train_and_test,True,8328.jpg
744,Childe Hassam,1900,cityscape,2693.0,4039.0,7014011.0,wikiart,Impressionism,"New York, Late Afternoon, Winter",train_and_test,True,3632.jpg
761,Konstantinos Volanakis,,marina,4000.0,2688.0,3237554.0,wikiart,Impressionism,Boats in a port,train_and_test,False,6282.jpg
810,Giovanni Battista Piranesi,,veduta,3918.0,2657.0,3542589.0,wikiart,Neoclassicism,Vedute di Roma,train_and_test,True,67208.jpg
819,Giovanni Battista Piranesi,,cityscape,3887.0,2663.0,3282677.0,wikiart,Neoclassicism,Vedute di Roma,train_and_test,True,64308.jpg
841,Karl Bodmer,1843,landscape,3698.0,2768.0,1648864.0,wikiart,Romanticism,"Offering of the Mandan Indians, plate 14 from Volume 1 of 'Travels in the Interior of North America'",train_and_test,True,82629.jpg
858,Sven Jonson,1976.0,marina,3902.0,2600.0,2023889.0,wikiart,Surrealism,I väntan på vind,train_and_test,False,27413.jpg
863,Giovanni Battista Piranesi,,cityscape,3905.0,2595.0,3630360.0,wikiart,Neoclassicism,Vedute di Roma,train_and_test,True,84097.jpg
913,Giovanni Battista Piranesi,,cityscape,3887.0,2564.0,3294476.0,wikiart,Neoclassicism,Vedute di Roma,train_and_test,True,89965.jpg
975,Ivan Bilibin,1900.0,illustration,2717.0,3509.0,2343982.0,wikiart,Art Nouveau (Modern),"Illustration for the fairy tale ""Vasilisa the Beautiful""",train_and_test,True,34053.jpg
1032,Jusepe de Ribera,1639,religious painting,3050.0,3051.0,2028096.0,wikiart,Tenebrism,The Martyrdom of St. Philip,train_and_test,True,90703.jpg
1034,Henri de Toulouse-Lautrec,1895,genre painting,3176.0,2929.0,1337669.0,wikiart,Post-Impressionism,Booth of La Goulue at the Foire du Trone (The Moorish Dance),train_and_test,False,95715.jpg
1066,Paul Cezanne,1880,genre painting,3176.0,2874.0,1146603.0,wikiart,Post-Impressionism,Bathers,train_and_test,True,63504.jpg
1090,Saturnino Herran,1915.0,,2355.0,3845.0,3446166.0,wikiart,Art Nouveau (Modern),La criolla del mantón,train_only,True,30943.jpg
1152,Koloman Moser,,design,4116.0,2166.0,5118184.0,wikiart,Art Nouveau (Modern),"Am Steinhof Church, colored sketch of south window",train_and_test,False,34599.jpg
1200,Konstantin Vasilyev,,mythological painting,2048.0,4265.0,1102520.0,wikiart,Symbolism,Giant,test_only,False,95691.jpg
1228,Serge Sudeikin,1922,design,3718.0,2326.0,3030298.0,wikiart,Art Nouveau (Modern),Design for Katinka,train_and_test,False,85347.jpg
1230,James Tissot,1874,genre painting,2273.0,3804.0,815786.0,wikipedia,Realism,Reading the News,train_and_test,True,73331.jpg
1268,Edgar Degas,1874,genre painting,2715.0,3156.0,1940855.0,wikiart,Impressionism,The Ballet Class,train_and_test,True,99133.jpg
1284,Franz Xaver Winterhalter,1855,portrait,2304.0,3696.0,7420122.0,wikiart,Neo-Rococo,Portrait of Emperor Napoleon III ,train_and_test,True,79816.jpg
1333,Henri de Toulouse-Lautrec,1893,poster,2536.0,3301.0,1061300.0,wikiart,Art Nouveau (Modern),Divan Japonais,train_and_test,False,92035.jpg
1371,Agnolo Bronzino,c.1552,portrait,2536.0,3266.0,393738.0,wikiart,Mannerism (Late Renaissance),Portrait of a gentleman,train_and_test,True,19538.jpg
1372,Irma Stern,1945.0,flower painting,2696.0,3072.0,1224639.0,wikiart,Post-Impressionism,"Still Life with Leaves, Fruit and Flowers",train_and_test,True,69147.jpg
1390,August Macke,,cityscape,2536.0,3258.0,706811.0,wikiart,Orphism,A Glance Down an Alley,train_and_test,True,95046.jpg
1421,William Blake,1820,illustration,2500.0,3286.0,1704816.0,wikiart,Symbolism,A Sunshine Holiday,train_and_test,True,70846.jpg
1442,Agnolo Bronzino,1532,portrait,2536.0,3226.0,519465.0,wikiart,Mannerism (Late Renaissance),Portrait of Guidubaldo della Rovere,train_and_test,True,100883.jpg
1494,Henri de Toulouse-Lautrec,1884,nude painting (nu),2536.0,3178.0,667105.0,wikiart,Post-Impressionism,"The big Maria, Venus Mintmartre",train_and_test,False,94093.jpg
1526,Bernhard Strigel,1480,religious painting,2448.0,3264.0,4047764.0,wikiart,Northern Renaissance,"Triptych: Inner left Wing St. Philip, St. James the Great Right",train_only,True,60863.jpg
1549,Ferdinand Georg Waldmüller,,portrait,2540.0,3136.0,3021034.0,wikiart,Biedermeier,A lady in a white dress and shawl before a Viennese landscape,train_and_test,True,83918.jpg
1647,Matthias Grünewald,c.1511,religious painting,2536.0,3087.0,619637.0,wikiart,Northern Renaissance,Heller Altarpiece (detail),train_and_test,True,7467.jpg
1649,Pietro Perugino,1495,religious painting,2536.0,3087.0,559495.0,wikiart,High Renaissance,Pieta. Maria (detail),train_and_test,False,23220.jpg
1669,Vincent van Gogh,1889,sketch and study,3085.0,2527.0,6807323.0,wikiart,Post-Impressionism,The Courtyard of the Hospital at Arles,train_and_test,False,26488.jpg
1680,Mabuse,1509,sketch and study,2456.0,3168.0,704047.0,wikiart,Northern Renaissance,Sheet with a study after the Spinario and other sculptures,train_only,True,87963.jpg
1682,Hieronymus Bosch,1516,religious painting,2536.0,3066.0,859113.0,wikiart,Northern Renaissance,Adoration of the Magi,train_and_test,True,64398.jpg
1692,Niko Pirosmani,,genre painting,3034.0,2560.0,3870733.0,wikiart,Naïve Art (Primitivism),Georgian woman on a couch ,train_and_test,False,86548.jpg
1702,Walter Crane,1870.0,allegorical painting,2583.0,3000.0,484194.0,wikiart,Neo-Romanticism,"Europe, Asia, Africa  ",train_only,True,85507.jpg
1744,Honore Daumier,,genre painting,2359.0,3250.0,1408827.0,wikiart,Romanticism,Comedy scene (scene from Molière),train_and_test,True,36633.jpg
1769,Claude Monet,1922,landscape,2500.0,3041.0,3090321.0,wikiart,Impressionism,"Weeping Willow, Giverny",train_and_test,True,37160.jpg
1780,Edgar Degas,1867,portrait,2378.0,3186.0,1445244.0,wikiart,Impressionism,Head of a Young Woman,train_and_test,True,78280.jpg
1786,Ernst Ludwig Kirchner,1914,sketch and study,2461.0,3074.0,720113.0,wikiart,Expressionism,Study on Red Tart,train_and_test,True,50112.jpg
1787,Pieter de Hooch,c.1658,genre painting,2536.0,2982.0,788627.0,wikiart,Baroque,A woman and a child on a Bleichwiese,train_and_test,True,68879.jpg
1790,Pietro Perugino,c.1499,religious painting,2043.0,3697.0,3779575.0,wikiart,High Renaissance,The Virgin and Child with an Angel ,train_and_test,True,99780.jpg
1810,August Macke,1914,genre painting,2536.0,2967.0,869853.0,wikiart,Fauvism,At the Garden Table,train_and_test,False,15014.jpg
1846,Gerard Schneider,1973.0,abstract,3307.0,2256.0,294595.0,wikiart,Tachisme,Untitled,train_and_test,False,50518.jpg
1881,Thomas Eakins,c.1895,portrait,2311.0,3207.0,1901058.0,wikipedia,Realism,Captain Joseph Lapsley Wilson ,train_and_test,True,33623.jpg
1953,Jean-Leon Gerome,1903,landscape,3232.0,2260.0,1720913.0,wikiart,Romanticism,Souvenir of Achéres,train_and_test,True,63892.jpg
1969,Utagawa Kuniyoshi,,animal painting,3829.0,1901.0,1472963.0,wikiart,Ukiyo-e,Cats suggested as the fifty three stations of the Tokaido,train_and_test,False,65894.jpg
1973,George Frederick Watts,,portrait,2400.0,3030.0,733854.0,wikiart,Academicism,"Robert Lowe, 1st Viscount Sherbrooke",train_and_test,False,91692.jpg
1989,William-Adolphe Bouguereau,1885,portrait,1800.0,4020.0,1715198.0,wikiart,Neoclassicism,The Water Girl (Young Girl Going to the Spring),train_and_test,False,52496.jpg
1990,Albrecht Durer,,portrait,2412.0,3000.0,694455.0,wikiart,Northern Renaissance,Head of a boy,train_and_test,False,85074.jpg
2005,Edgar Degas,1877,genre painting,2304.0,3132.0,1560288.0,wikiart,Impressionism,Two Dancers on Stage,train_and_test,True,20745.jpg
2033,William-Adolphe Bouguereau,1867,portrait,2133.0,3367.0,271771.0,wikiart,Neoclassicism,Yvonette,train_and_test,True,79278.jpg
2042,Albrecht Durer,,genre painting,2536.0,2827.0,753468.0,wikiart,Northern Renaissance,Sixtus Tucher in open grave,train_and_test,True,35666.jpg
2064,Ferdinand Georg Waldmüller,1857,genre painting,3000.0,2380.0,4597808.0,wikipedia,Biedermeier,Corpus Christi Morning,train_and_test,True,59980.jpg
2078,Claude Monet,1886,landscape,2376.0,3000.0,2035400.0,wikiart,Impressionism,The Mannerport near Etretat,train_and_test,True,86389.jpg
2157,Vase with Twelve Sunflowers ,c.1889,flower painting,2289.0,3071.0,3185396.0,wikiart,Post-Impressionism,Still Life,train_and_test,False,4832.jpg
2198,Felix Vallotton ,1925,self-portrait,2328.0,3000.0,1568511.0,wikiart,Realism,Self-portrait,train_and_test,False,59610.jpg
2254,Ferdinand Georg Waldmüller,1827,still life,3000.0,2307.0,3961419.0,wikipedia,Biedermeier,"Still life with roses, strawberries, and bread",train_and_test,True,83150.jpg
2272,Albrecht Durer,1501,nude painting (nu),3000.0,2298.0,668993.0,wikiart,Northern Renaissance,Reclining female nude,train_and_test,False,33450.jpg
2304,Gustave Moreau,,genre painting,2313.0,2964.0,3922760.0,wikiart,Symbolism,Victim,train_and_test,True,96863.jpg
2314,Utagawa Kuniyoshi,,animal painting,2166.0,3157.0,2035392.0,wikiart,Ukiyo-e,Stingrays,train_and_test,True,96694.jpg
2418,Utagawa Kuniyoshi,,battle painting,2128.0,3149.0,1962868.0,wikiart,Ukiyo-e,Night rain at Narumi,train_and_test,True,20271.jpg
2450,Paul Cezanne,1894,still life,3200.0,2082.0,598370.0,wikiart,Post-Impressionism,"Still life, pitcher and fruit",train_and_test,True,62512.jpg
2474,Utagawa Kuniyoshi,,portrait,2119.0,3125.0,1313860.0,wikiart,Ukiyo-e,The actor,train_and_test,True,12689.jpg
2491,Rudolf von Alt,1838,landscape,2958.0,2232.0,4084555.0,wikiart,Romanticism,Hoher Dachstein from Lower Gosau,train_and_test,True,51307.jpg
2554,James Tissot,c.1872,genre painting,2053.0,3177.0,763778.0,wikiart,Realism,The Tedious Story ,train_and_test,True,65626.jpg
2561,Jean Auguste Dominique Ingres,,portrait,2189.0,2975.0,1063981.0,wikiart,Neoclassicism,"Madame Johann Gotthard Reinhold, born Sophie Amalie Dorothea Wilhelmine Ritter, and her two daughters, Susette and Marie",train_and_test,True,4857.jpg
2573,Gustav Klimt,1918,portrait,2536.0,2564.0,1336750.0,wikipedia,Art Nouveau (Modern),Amalie Zuckerkandl,train_and_test,True,86239.jpg
2576,Albrecht Durer,,allegorical painting,2536.0,2563.0,747814.0,wikipedia,Northern Renaissance,Scheibenriß Tafelnde society and death,train_and_test,False,19321.jpg
2588,Utagawa Kuniyoshi,,mythological painting,2081.0,3117.0,1368846.0,wikiart,Ukiyo-e,Hotei,train_and_test,True,88851.jpg
2599,Ferdinand Hodler,1916,self-portrait,2352.0,2754.0,3338569.0,wikiart,Art Nouveau (Modern),Study of self-portrait,train_and_test,False,58363.jpg
2612,Gustav Klimt,1901,landscape,2536.0,2545.0,1811566.0,wikiart,Art Nouveau (Modern),Fir Forest I,train_and_test,True,67315.jpg
2717,Jean Auguste Dominique Ingres,1856,portrait,2199.0,2883.0,2559414.0,wikiart,Neoclassicism,Portrait of Madame Moitessier Sitting,train_and_test,True,67849.jpg
2725,the Death of Raymond Lulle,1963,abstract,3953.0,1600.0,4159878.0,wikiart,Abstract Expressionism,Arabs,train_and_test,False,89596.jpg
2802,Abraham Manievich,,cityscape,3000.0,2080.0,2875925.0,wikiart,Expressionism,Autumn Day,train_and_test,True,81554.jpg
2843,Jacob Jordaens,1617,religious painting,2128.0,2908.0,1663019.0,wikiart,Baroque,Adoration of the Shepherds,train_and_test,True,86918.jpg
2846,John Singer Sargent,c.1882,genre painting,2138.0,2890.0,2787479.0,wikiart,Realism,A Street in Venice ,train_and_test,True,74380.jpg
2860,Utagawa Kuniyoshi,,portrait,2074.0,2969.0,1034403.0,wikiart,Ukiyo-e,Faces,train_and_test,True,99323.jpg
2946,Albrecht Durer,,vanitas,2536.0,2386.0,682749.0,wikiart,Northern Renaissance,Skull,train_and_test,False,95878.jpg
2962,Albrecht Durer,1506,nude painting (nu),2024.0,2984.0,742053.0,wikiart,Northern Renaissance,Seated Nude Child,train_and_test,True,32124.jpg
2996,Lorenzo Lotto,c.1527,portrait,2090.0,2877.0,3645818.0,wikiart,High Renaissance,Portrait of a gentleman with lion paw,train_and_test,True,102595.jpg
3025,Ivan Bilibin,1940.0,illustration,2094.0,2856.0,13388615.0,wikiart,Art Nouveau (Modern),"Illustration for the epic ""Volga and Mikula""",train_and_test,True,92609.jpg
3029,James Tissot,1862,genre painting,3323.0,1799.0,859846.0,wikipedia,Realism,The Return of the Prodigal Son,train_and_test,True,85980.jpg
3081,Jose Clemente Orozco,1926,symbolic painting,2816.0,2112.0,2909774.0,wikiart,Muralism,Farewell,train_and_test,True,25264.jpg
3148,Hans Memling,1475,religious painting,2024.0,2912.0,434397.0,wikiart,Northern Renaissance,The Man of Sorrows in the Arms of the Virgin  ,train_and_test,True,91382.jpg
3161,Anita Malfatti,1926.0,landscape,2647.0,2223.0,2081505.0,wikiart,Post-Impressionism,Porto de Mônaco,train_only,True,26839.jpg
3168,Fernand Leger,1919.0,portrait,2124.0,2766.0,1160143.0,wikiart,Cubism,Men in the city,train_and_test,True,81350.jpg
3173,Jacob Jordaens,1660,religious painting,2020.0,2907.0,1295744.0,wikiart,Baroque,Christ Carrying the Cross,train_and_test,True,868.jpg
3298,Albrecht Durer,,genre painting,3000.0,1920.0,748770.0,wikiart,Northern Renaissance,Society on horseback,train_and_test,True,70284.jpg
3355,Isaac van Ostade,1644,genre painting,2777.0,2058.0,2348658.0,wikiart,Baroque,Tavern,train_and_test,False,32396.jpg
3358,Limbourg brothers,,illustration,2184.0,2616.0,3592837.0,wikiart,International Gothic,Labors of the Months,train_and_test,False,87806.jpg
3360,Gustav Klimt,1918,sketch and study,1904.0,3000.0,502067.0,wikiart,Art Nouveau (Modern),Standing Woman in Kimono (Dame im Kimono),train_and_test,True,42809.jpg
3361,Hans Memling,1474,portrait,2024.0,2822.0,310760.0,wikiart,Northern Renaissance,Portrait of a Man holding a coin of the Emperor Nero ,train_and_test,True,55727.jpg
3378,Albrecht Durer,1504,religious painting,1898.0,3000.0,1034652.0,wikiart,Northern Renaissance,Christ before Caiaphas ,train_and_test,True,89622.jpg
3382,Albrecht Durer,,religious painting,1897.0,3000.0,1314783.0,wikiart,Northern Renaissance,The Arrest of Christ ,train_and_test,True,52944.jpg
3414,Vincent van Gogh,1889,still life,2739.0,2070.0,5547867.0,wikiart,Post-Impressionism,"Still Life with Drawing Board, Pipe, Onions and Sealing-Wax",train_and_test,True,76534.jpg
3438,Caspar David Friedrich,,landscape,2803.0,2016.0,946777.0,wikiart,Romanticism,Hills and Ploughed Fields near Dresden,train_and_test,True,64982.jpg
3462,Carlo Crivelli,c.1475,religious painting,2024.0,2783.0,660032.0,wikiart,Early Renaissance,Saint Bartholomew,train_and_test,False,21115.jpg
3505,Max Liebermann,1885,genre painting,2700.0,2077.0,2674156.0,wikiart,Impressionism, Road in Dutch Village,train_and_test,True,57968.jpg
3550,Albrecht Durer,,religious painting,1855.0,3000.0,718261.0,wikiart,Northern Renaissance,Lamentation ,train_and_test,True,11430.jpg
3551,Albrecht Altdorfer,1516,religious painting,2536.0,2194.0,713287.0,wikiart,Northern Renaissance,"Crucifixion scene, Christ on the Cross with Mary and John",train_and_test,True,47317.jpg
3554,Claude Monet,1878,cityscape,2000.0,2781.0,1680615.0,wikiart,Impressionism,The Rue Montargueil with Flags,train_and_test,True,62513.jpg
3656,Albrecht Durer,1493,self-portrait,2024.0,2712.0,602577.0,wikiart,Northern Renaissance,Self-Portrait,train_and_test,False,53665.jpg
3678,Francisco de Zurbaran,1638,religious painting,2024.0,2704.0,347836.0,wikiart,Baroque,St. Romanus and St. Barulas of Antioch,test_only,False,83660.jpg
3699,Jean Auguste Dominique Ingres,1820,portrait,2077.0,2630.0,2055627.0,wikiart,Neoclassicism,Portrait of the Sculptor Lorenzo Bartolini,train_and_test,False,58766.jpg
3700,Jean Auguste Dominique Ingres,1806,portrait,1831.0,2983.0,2555402.0,wikiart,Neoclassicism,Portrait of Napoléon on the Imperial Throne,train_and_test,True,46398.jpg
3728,John Singer Sargent,c.1880,portrait,2129.0,2555.0,1905308.0,wikiart,Realism,Jean Joseph Marie Carri,train_and_test,True,65670.jpg
3735,Konstantin Yuon,1945,cityscape,2893.0,1879.0,1896371.0,wikiart,Socialist Realism,Moscow salutes,train_and_test,True,62189.jpg
3756,Antonello da Messina,c.1472,religious painting,2024.0,2679.0,451736.0,wikiart,Early Renaissance,St. Gregory,train_and_test,True,95964.jpg
3782,Francisco de Zurbaran,1629,religious painting,2024.0,2668.0,374792.0,wikipedia,Baroque,Birth of the Virgin,test_only,False,15769.jpg
3793,Adriaen Brouwer,,genre painting,2024.0,2665.0,515412.0,wikiart,Baroque,The Bitter Drunk,train_and_test,False,32328.jpg
3822,Caravaggio,1601,religious painting,2024.0,2659.0,351733.0,wikiart,Baroque,Crucifixion of Saint Peter,train_and_test,True,81644.jpg
3828,Andrea Mantegna,1475,religious painting,2040.0,2637.0,1423691.0,wikiart,Early Renaissance,The Flagellation of Christ in the pavement,train_and_test,True,58116.jpg
3839,Claude Lorrain,1663,religious painting,2018.0,2661.0,727671.0,wikipedia,Classicism,Landscape with Flight into Egypt,train_and_test,True,23133.jpg
3853,Edgar Degas,1885,genre painting,2024.0,2651.0,548174.0,wikiart,Impressionism,Ballerina and Lady with a Fan,train_and_test,True,26182.jpg
3866,Paolo Veronese,,religious painting,1786.0,3000.0,2575701.0,wikiart,Mannerism (Late Renaissance),The Consecration of Saint Nicholas,train_and_test,True,79062.jpg
3873,Francesco Hayez,c.1848,portrait,2024.0,2645.0,245541.0,wikiart,Romanticism,Portrait of Teresa Borri,train_only,True,11848.jpg
3888,Vincent van Gogh,1888,landscape,2518.0,2123.0,5415015.0,wikipedia,Post-Impressionism,View of Arles with Irises in the Foreground,train_and_test,True,64547.jpg
3912,Jan Steen,c.1670,genre painting,2667.0,2000.0,1028972.0,wikiart,Baroque,Village school,train_and_test,True,24584.jpg
3914,El Greco,c.1600,religious painting,2024.0,2635.0,782585.0,wikiart,Mannerism (Late Renaissance),St. Jacobus,train_and_test,True,92018.jpg
3933,William-Adolphe Bouguereau,1867,portrait,1947.0,2733.0,1332500.0,wikiart,Neoclassicism,The Thank Offering,train_and_test,True,67705.jpg
3939,William Hogarth,1745,self-portrait,2024.0,2627.0,369993.0,wikiart,Rococo,Self portrait,train_and_test,True,52627.jpg
3958,Ivan Bilibin,1934.0,design,1932.0,2748.0,10421633.0,wikiart,Art Nouveau (Modern),"Costume design for the Opera ""Legend of the Invisible City of Kitezh and Maiden Fevronia""  by Nikolai Rimsky-Korsakov ",train_and_test,True,41341.jpg
4011,William-Adolphe Bouguereau,1850,portrait,2154.0,2453.0,1401810.0,wikiart,Neoclassicism,A Portrait of Eug ne Bouguereau,train_and_test,True,30774.jpg
4018,Carl Spitzweg,c.1860,genre painting,2024.0,2608.0,709109.0,wikipedia,Biedermeier,The geologist,train_and_test,True,19610.jpg
4058,Ivan Bilibin,1921.0,cityscape,2094.0,2508.0,11338216.0,wikiart,Art Nouveau (Modern),A street in Cairo,train_and_test,True,9117.jpg
4150,Titian,1515,genre painting,2078.0,2508.0,1692660.0,wikiart,High Renaissance,Vanitas,train_and_test,True,85615.jpg
4171,Hans Holbein the Younger,c.1543,portrait,2024.0,2569.0,292479.0,wikiart,Northern Renaissance,Lady Butts,train_and_test,True,46893.jpg
4214,Ivan Bilibin,1917.0,landscape,1974.0,2622.0,10433733.0,wikiart,Art Nouveau (Modern),Creek,train_and_test,True,78294.jpg
4218,Max Liebermann,c.1885,genre painting,3000.0,1725.0,1499638.0,wikiart,Impressionism,Children's playground in Tiergarten park in Berlin,train_and_test,True,82366.jpg
4240,Aubrey Beardsley,,genre painting,1908.0,2708.0,1679068.0,wikiart,Art Nouveau (Modern),The Baron's Prayer,train_and_test,True,86280.jpg
4243,Caspar David Friedrich,,landscape,2536.0,2037.0,709099.0,wikiart,Romanticism,Forrest in the end of the autumn,train_and_test,True,54559.jpg
4275,Guido Reni,1611,religious painting,1794.0,2871.0,810644.0,wikiart,Baroque,Massacre of the Innocents,train_and_test,False,46518.jpg
4307,Albrecht Altdorfer,,religious painting,2024.0,2538.0,6115941.0,wikiart,Northern Renaissance,Passion of Christ,train_and_test,True,82672.jpg
4319,Jan van Eyck,1432,religious painting,1350.0,3800.0,839165.0,wikiart,Northern Renaissance,The Ghent Altar (detail),train_and_test,True,5715.jpg
4393,Henri de Toulouse-Lautrec,1893,genre painting,2536.0,2009.0,448696.0,wikiart,Post-Impressionism,The Divan,train_and_test,True,96523.jpg
4408,Paul Cezanne,c.1877,portrait,2024.0,2511.0,597844.0,wikiart,Impressionism,"Portrait of Victor Chocquet, Seated",train_and_test,True,46469.jpg
4461,Paul Cezanne,1906,portrait,2024.0,2499.0,443851.0,wikiart,Post-Impressionism,Portrait of Vallier,train_and_test,False,86342.jpg
4514,Louise Elisabeth Vigee Le Brun,1787,portrait,1944.0,2592.0,1826219.0,wikiart,Rococo,Alexandre Charles Emmanuel de Crussol Florensac,train_only,True,65724.jpg
4518,Giorgio Vasari,,religious painting,1944.0,2592.0,2338636.0,wikiart,Mannerism (Late Renaissance),Badia Fiorentina church,train_and_test,False,65031.jpg
4536,Alfred Sisley,1865,landscape,2536.0,1985.0,468273.0,wikiart,Realism,Chestnut Avenue in La Celle Saint Cloud,train_and_test,True,90605.jpg
4548,Vincent van Gogh,1882,landscape,2730.0,1842.0,1596853.0,wikiart,Realism,Edge of a Wood,train_and_test,True,67300.jpg
4564,August Macke,1911,genre painting,2536.0,1980.0,556432.0,wikiart,Expressionism,Gartenbild,train_and_test,True,14315.jpg
4616,Correggio,,religious painting,2024.0,2471.0,400908.0,wikiart,High Renaissance,The Vision of St. John in Patmos,train_only,True,54511.jpg
4625,Albrecht Durer,,sketch and study,2536.0,1971.0,571283.0,wikiart,Northern Renaissance,Head of an apostle,train_and_test,True,8887.jpg
4657,Paul Cezanne,c.1885,portrait,2024.0,2464.0,548379.0,wikiart,Post-Impressionism,Portrait of Madame Cezanne,train_and_test,True,90103.jpg
4660,Jean-Baptiste-Simeon Chardin,c.1750,still life,2024.0,2463.0,433422.0,wikiart,Baroque,Still Life with Glass Flask and Fruit,train_and_test,True,90638.jpg
4683,Aubrey Beardsley,1894,poster,1841.0,2703.0,1448763.0,wikiart,Art Nouveau (Modern),"Poster advertising 'A Comedy of Sighs', a play by John Todhunter",train_and_test,True,61411.jpg
4707,Jean David,1954.0,poster,1887.0,2632.0,953879.0,wikiart,Cubism,Jonah and the Whale (Israel Travel Poster),train_only,True,31833.jpg
4709,Theodor Severin Kittelsen,,mythological painting,1984.0,2503.0,2022398.0,wikiart,Neo-Romanticism,I Spindervevet,train_and_test,True,56902.jpg
4717,William-Adolphe Bouguereau,1897,portrait,2015.0,2462.0,825590.0,wikiart,Realism,Irene,train_and_test,False,66582.jpg
4747,Andrea Mantegna,1506,history painting,2283.0,2166.0,907040.0,wikiart,High Renaissance,Julius Caesar on a triumphal car,train_and_test,True,94357.jpg
4799,Eugene Delacroix,1834,history painting,2560.0,1920.0,3087501.0,wikiart,Romanticism,Confrontation of knights in the countryside,train_and_test,True,27109.jpg
4827,Theodor Severin Kittelsen,1890.0,illustration,2000.0,2454.0,827812.0,wikiart,Neo-Romanticism,May,train_and_test,True,36095.jpg
4877,Theophile Steinlen,1914.0,landscape,2507.0,1946.0,1060358.0,wikiart,,Le Coteau  ,train_and_test,True,79445.jpg
